"data";"numeracaoItem";"tipo";"url";"arquivo_pdf";"baixado"
"2016-12-30";"1.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163284.pdf";"dsp20163284.pdf";"True"
"2016-12-30";"2.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf";"dsp20163386ti.pdf";"True"
"2016-12-30";"2.";"Nota Técnica nº 951/2016-SCG/ANEEL       :";"http://www2.aneel.gov.br/cedoc/ndsp20163386.pdf";"ndsp20163386.pdf";"True"
"2016-12-30";"3.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163398ti.pdf";"dsp20163398ti.pdf";"True"
"2016-12-30";"4.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163399ti.pdf";"dsp20163399ti.pdf";"True"
"2016-12-30";"4.";"Nota Técnica nº 955/2016-SCG/ANEEL       :";"http://www2.aneel.gov.br/cedoc/ndsp20163399.pdf";"ndsp20163399.pdf";"True"
"2016-12-30";"5.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163400ti.pdf";"dsp20163400ti.pdf";"True"
"2016-12-30";"6.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163407ti.pdf";"dsp20163407ti.pdf";"True"
"2016-12-30";"6.";"Decisão Judicial :";"https://www2.aneel.gov.br/cedoc/Decis%C3%A3o_Judicial.pdf";"Decis%C3%A3o_Judicial.pdf";"True"
"2016-12-30";"7.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163408ti.pdf";"dsp20163408ti.pdf";"True"
"2016-12-30";"7.";"Nota Técnica nº 958/2016-SCG/ANEEL:";"http://www2.aneel.gov.br/cedoc/ndsp20163408.pdf";"ndsp20163408.pdf";"True"
"2016-12-30";"8.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163409ti.pdf";"dsp20163409ti.pdf";"True"
"2016-12-30";"9.";"Texto Integral :";"http://www2.aneel.gov.br/cedoc/dsp20163410ti.pdf";"dsp20163410ti.pdf";"True"
"2016-12-30";"10.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163411.pdf";"dsp20163411.pdf";"True"
"2016-12-30";"11.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163415ti.pdf";"dsp20163415ti.pdf";"True"
"2016-12-30";"12.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163416ti.pdf";"dsp20163416ti.pdf";"True"
"2016-12-30";"13.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt2016267spde.pdf";"prt2016267spde.pdf";"True"
"2016-12-30";"14.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt2016268spde.pdf";"prt2016268spde.pdf";"True"
"2016-12-30";"15.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt2016269spde.pdf";"prt2016269spde.pdf";"True"
"2016-12-30";"16.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt2016270spde.pdf";"prt2016270spde.pdf";"True"
"2016-12-30";"17.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164363.pdf";"prt20164363.pdf";"True"
"2016-12-30";"18.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164374.pdf";"prt20164374.pdf";"True"
"2016-12-30";"19.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164380.pdf";"prt20164380.pdf";"True"
"2016-12-30";"20.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164381.pdf";"prt20164381.pdf";"True"
"2016-12-30";"21.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164383.pdf";"prt20164383.pdf";"True"
"2016-12-30";"22.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164384.pdf";"prt20164384.pdf";"True"
"2016-12-30";"23.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/prt20164402.pdf";"prt20164402.pdf";"True"
"2016-12-29";"1.";"Texto Integral:";"http://www2.aneel.gov.br/cedoc/dsp20163397ti.pdf";"dsp20163397ti.pdf";"True"
