"data";"numeracaoItem";"titulo";"autor";"material";"esfera";"situacao";"assinatura";"publicacao";"assunto";"ementa"
"2016-12-30";"1.";"DSP - DESPACHO 3284/2016";"ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-15";"2016-12-30";"Acatamento";""
"2016-12-30";"2.";"DSP - DESPACHO 3386/2016";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-26";"2016-12-30";"Registro";"Registra a adequabilidade aos estudos de inventário e ao uso do potencial hidráulico da Pequena Central Hidrelétrica São Carlos, no rio do Peixe, nos municípios de Lacerdópolis e Campos Novos, (SC), de titularidade da Getop Empreendimentos e Gestão Ltda, Neimar Brusamarello e da São Carlos Energia Ltda. Imprimir"
"2016-12-30";"3.";"DSP - DESPACHO 3398/2016";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-28";"2016-12-30";"Determinação";"Resolve hierarquizar, em primeiro lugar, a Tradener Ltda, Norma Santinoni Vera, Francisco Manoel da Rocha Pombo Vera Filho, Nivaldo de Paula Ribeiro e Maria José Ribeiro, como interessados na implantação e exploração da Pequena Central Hidrelétrica COR 125; e revoga o Despacho SCG/ANEEL 4.471, de 18.11.2014, que conferiu o registro ativo ao projeto básico da Pequena Central Hidrelétrica COR 125 apresentado por Optigera S.A, VOTENER - Votorantim Comercializadora de Energia Ltda, Lemos Construções Transportes Areia e Cascalho Ltda, Wender Carlos de Abreu, Weidiany Lucia de Abreu, Leonardo Carneiro Rincón, Luciano Alberto Ribeiro e Carolyna Porto. Imprimir"
"2016-12-30";"4.";"DSP - DESPACHO 3399/2016";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-28";"2016-12-30";"Registro";"Registra a adequabilidade aos estudos de inventário e ao uso do potencial hidráulico da Pequena Central Hidrelétrica COR 125, no rio Corumbá, nos municípios de Pires do Rio e Urutaí, (GO), de titularidade da Tradener Ltda, Norma Santinoni Vera, Francisco Manoel da Rocha Vera Filho, Nivaldo de Paula Ribeiro e de Maria José Ribeiro. Imprimir"
"2016-12-30";"5.";"DSP - DESPACHO 3400/2016";"SFF/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-28";"2016-12-30";"Conhecimento";"Conhece e, no mérito, reconsidera parcialmente do recurso administrativo da Boa Vista Energia S.A, em face do Auto de Infração SFF/ANEEL 051, de 2016, para reduzir o valor da multa; converter a penalidade de multa referente às Não Conformidades 3, 8, 11, 12, 13, 14, 21 e 22 em advertência; e encaminha o recurso à Diretoria Colegiada, para decisão em instância superior. Imprimir"
"2016-12-30";"6.";"DSP - DESPACHO 3407/2016";"SCG/ANEEL";"Legislação";"Outros";"REVOGADA";"2016-12-28";"2016-12-30";"Registro";"Confere à Agrícola Sete Campos Ltda, o registro de intenção à outorga de autorização referente à Pequena Central Hidrelétrica Eixo 1, no ribeirão do Salto, nos municípios de Novo Jardim e Ponte Alta do Bom Jesus, (TO). Imprimir"
"2016-12-30";"7.";"DSP - DESPACHO 3408/2016";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-28";"2016-12-30";"Registro";"Registra a adequabilidade aos estudos de inventário e ao uso do potencial hidráulico da Pequena Central Hidrelétrica Cachoeira Alegre, no rio Pomba, no município de Santo Antônio de Pádua, (RJ), de titularidade da Rodrigo Pedroso Energia Ltda. Imprimir"
"2016-12-30";"8.";"DSP - DESPACHO 3409/2016";"SCG/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-28";"2016-12-30";"Fixação";"Estabelece o percentual de redução, a ser aplicado às tarifas de uso dos sistemas elétricos de transmissão e de distribuição - TUSD e TUST, incidindo na produção e no consumo da energia comercializada pelas Usinas Hidrelétricas Juba I e Juba II, nos municípios de Tangará da Serra e Barra dos Bugres, (MT), outorgada à Itamarati Norte S.A Agropecuária. Imprimir"
"2016-12-30";"9.";"DSP - DESPACHO 3410/2016";"SFF/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-29";"2016-12-30";"Conhecimento";"Conhece e, no mérito, reconsidera parcialmente do recurso administrativo da Companhia Energética do Piauí S.A - CEPISA, em face do Auto de Infração SFF/ANEEL 050, de 2016, para reduzir o valor da multa; converter a penalidade de multa referente às Não Conformidades 5, 9, 10, 11 e 19 em advertência; cancela as Não Conformidades 4, 12, 13, 14, 21 e 24; e encaminha o recurso à Diretoria Colegiada, para decisão em instância superior. Imprimir"
"2016-12-30";"10.";"DSP - DESPACHO 3411/2016";"SFF/ANEEL";"Legislação";"Outros";"NÃO CONSTA REVOGAÇÃO EXPRESSA";"2016-12-29";"2016-12-30";"Aprovação";"Aprova a liberação de recursos da Conta de Desenvolvimento Energético - CDE, para a Light Serviços de Eletricidade S.A, conforme fluxo financeiro do orçamento, correspondente à 8º parcela das obras do Cluster Barra da Tijuca, para os serviços de fornecimento de energia temporária para os Jogos Olímpicos e Paralímpicos de 2016. Imprimir"
